,DT,DT_NAME,UNDERTAKING,BUSINESS_UNIT,FEEDER_NO,FEEDER_NAME
8318,1000228663,11-Ijaiye OjokoroINJ-T2-Agbado 2-BAKARE (OMONIYI),FAGBA,ABULE-EGBA,1070432,AGBADO II
8574,1000226411,11-IjuINJ-T2-Agbado 1-OBASA,IJU,ABULE-EGBA,1081359,AGBADO I
9086,1000166202,11-IjuINJ-T1-Ajuwon-AWONBIOWO,AKUTE,ABULE-EGBA,1064886,AJUWON 
2943,1000290567,11-IjuINJ-T1-Grailand-MUDASHIRU,LAMBE,ABULE-EGBA,1083853,GRAILAND
7295,1000244868,11-YidiINJ-T1-Osoba-ORIYOMI ESTATE,ADIYAN,ABULE-EGBA,1069296,OSHOBA
7807,1000237360,11-Ijaiye OjokoroINJ-T1-Jankara-AGBADO ROAD,IJAIYE,ABULE-EGBA,1070428,JANKARA
8831,1000203419,11-YidiINJ-T1-Opeilu-MUTA 1 & 2,ADIYAN,ABULE-EGBA,1069300,OPEILU
3712,1000281790,11-AgegeINJ-T1-Iju Road-17 AINA STR HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
7296,1000244863,11-BeckleyINJ-T1-Beckley-AINA 2,FAGBA,ABULE-EGBA,1069272,BECKLEY
8832,1000203417,11-YidiINJ-T1-Opeilu-MUTA 4,ADIYAN,ABULE-EGBA,1069300,OPEILU
9088,1000166198,11-IjuINJ-T1-Ajuwon-AJUWON SOUTH,AKUTE,ABULE-EGBA,1064886,AJUWON 
7297,1000240859,11-BeckleyINJ-T1-Beckley-ANGEL TEMPLE 1,FAGBA,ABULE-EGBA,1069272,BECKLEY
8833,1000203415,11-YidiINJ-T1-Opeilu-OKUGBOLU 1,ADIYAN,ABULE-EGBA,1069300,OPEILU
2946,1000290553,11-YidiINJ-T1-Ijoko-DOMINION 1,ADIYAN,ABULE-EGBA,1069304,IJOKO
3714,1000281371,11-AgegeINJ-T1-Oko Oba-MOSAKU HVDS 2,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
7298,1000240857,11-BeckleyINJ-T1-Agbe road-AWORI,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
8834,1000203413,11-YidiINJ-T1-Opeilu-ORUDU OLUWO,ADIYAN,ABULE-EGBA,1069300,OPEILU
2947,1000290543,11-YidiINJ-T1-Ijoko-OLAOGUN 2,ADIYAN,ABULE-EGBA,1069304,IJOKO
3459,1000282873,11-AgegeINJ-T1-Iju Road-12 TUNJI ADEBAYO  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
8579,1000225408,11-IjuINJ-T2-Agbado 1-OGABI,IJU,ABULE-EGBA,1081359,AGBADO I
5508,1000260684,11-BeckleyINJ-T1-Agbe road-AGBE ROAD HVDS 3,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
8580,1000225400,11-IjuINJ-T2-Agbado 1-OLORUNSHOGO,ADIYAN,ABULE-EGBA,1081359,AGBADO I
8836,1000203409,11-YidiINJ-T1-Opeilu-PETER 1,ADIYAN,ABULE-EGBA,1069300,OPEILU
2949,1000290535,11-Abule IrokoINJ-T1-Alakuko-ALIS ADETUON,IJAIYE,ABULE-EGBA,1069230,ALAKUKO
3717,1000281362,11-AgegeINJ-T1-Oko Oba-ADETONA HVDS 1,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
3462,1000282531,11-AgegeINJ-T1-Iju Road-132 IJU ROAD HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
7302,1000244813,11-AgegeINJ-T1-Oko Oba-ILEDARE,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
8582,1000225651,11-IjuINJ-T2-Agbado 1-ONIGBANJO 1,IJU,ABULE-EGBA,1081359,AGBADO I
2951,1000290853,11-YidiINJ-T1-Ijoko-PEACE ESTATE,ADIYAN,ABULE-EGBA,1069304,IJOKO
3719,1000281765,11-AgegeINJ-T1-Oko Oba-OLUFEMI OLULADE HVDS 2,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
7303,1000240779,11-AgegeINJ-T1-Oko Oba-ORONA 1,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
8839,1000203403,11-YidiINJ-T1-Opeilu-SHOMEFUN,ADIYAN,ABULE-EGBA,1069300,OPEILU
3720,1000281756,11-AgegeINJ-T1-Iju Road-17 UNITY CLOSE HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
7304,1000244815,11-AgegeINJ-T1-Oko Oba-PHILIP MAJEKODUNMI,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
2441,1001248407,11-Abule IrokoINJ-T1-Abule Iroko-ABULE-IROKO,IJAIYE,ABULE-EGBA,1069234,ABULE IROKO
3465,1000282527,11-AgegeINJ-T1-Iju Road-138 IJU ROAD  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
8329,1000228466,11-Ijaiye OjokoroINJ-T2-Agbado 2-ENGR AKEEM (MBH),IJAIYE,ABULE-EGBA,1070432,AGBADO II
8585,1000223972,11-IjuINJ-T2-Agbado 1-SURULERE,IJU,ABULE-EGBA,1081359,AGBADO I
6026,1000258609,11-BeckleyINJ-T1-Agbe road-ADEPEGBA,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
8586,1000223970,11-IjuINJ-T2-Ishaga-ABIKE OLA,IJU,ABULE-EGBA,1064890,ISHAGA
3723,1000281562,11-BeckleyINJ-T1-Agbe road-PAUL STREET HVDS 6,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
7051,1000246001,11-BeckleyINJ-T1-Agbe road-TAIWO ADEWOLE HVDS 1,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
8843,1000203395,11-YidiINJ-T1-Opeilu-TITILAYO,ADIYAN,ABULE-EGBA,1069300,OPEILU
2956,1000290838,11-YidiINJ-T1-Ijoko-MOSA 3,ADIYAN,ABULE-EGBA,1069304,IJOKO
7052,1000245997,11-BeckleyINJ-T1-Agbe road-TAIWO ADEWOLE HVDS 5,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
8844,1000203393,11-YidiINJ-T1-Osoba-AKANDE 2,IJU,ABULE-EGBA,1069296,OSHOBA
2445,1001242920,11-IjuINJ-T1-Asore-FAKEYE,AKUTE,ABULE-EGBA,1082349,ASORE
2957,1000290538,11-YidiINJ-T1-Ijoko-MOSA 1,ADIYAN,ABULE-EGBA,1069304,IJOKO
3725,1000281555,11-AgegeINJ-T1-Oko Oba-ODEKEYE HVDS 4,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
3727,1000281899,11-AgegeINJ-T1-Oko Oba-FUNSHO OWOYEMI HVDS 3,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4495,1000273347,11-AgegeINJ-T1-Oko Oba-AMUSAN HVDS 5,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
8847,1000203385,11-YidiINJ-T1-Osoba-FRANKLIN,IJU,ABULE-EGBA,1069296,OSHOBA
4496,1000273345,11-AgegeINJ-T1-Oko Oba-AMUSAN HVDS 4,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
6288,1000256949,11-Abule IrokoINJ-T1-Books-AKINDE 1,IJAIYE,ABULE-EGBA,1069238,BOOKS
3729,1000281548,11-BeckleyINJ-T1-Agbe road-AROWOLO HVDS 1,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
4497,1000273339,11-AgegeINJ-T1-Oko Oba-KOLE AWANI HVDS 3,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
6289,1000256945,11-Abule IrokoINJ-T1-Books-AKINDE 2,IJAIYE,ABULE-EGBA,1069238,BOOKS
8593,1000208903,11-IjuINJ-T2-Ishaga-KABIYESI,IJU,ABULE-EGBA,1064890,ISHAGA
2706,1000975494,11-BeckleyINJ-T1-Agbe road-WAMON TAOFEEK HVDS 3,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
3730,1000281894,11-AgegeINJ-T1-Oko Oba- FUNSHO OWOYEMI HVDS 2,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4498,1000273337,11-AgegeINJ-T1-Oko Oba-KOLE AWANI HVDS 2,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
7826,1000235838,11-Ijaiye OjokoroINJ-T1-Jankara-AMOSU,FAGBA,ABULE-EGBA,1070428,JANKARA
6035,1000258227,33-OtaTCN-AMJE-ENITAN 1,IJAIYE,ABULE-EGBA,1073436,AMJE
6291,1000256933,11-IjuINJ-T1-Grailand-ASORE,AKUTE,ABULE-EGBA,1083853,GRAILAND
3732,1000281538,11-BeckleyINJ-T1-Agbe road-PAUL STREET HVDS 7,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
6292,1000256930,11-LambeINJ-T1-Jolasco-BAALE AKINOSI,AKUTE,ABULE-EGBA,1092358,JOLASCO FEEDER
8596,1000208427,11-IjuINJ-T2-Ishaga-MEDOVILLA,IJU,ABULE-EGBA,1064890,ISHAGA
8852,1000203141,11-YidiINJ-T1-Osoba-GBINRINMI 2,FAGBA,ABULE-EGBA,1069296,OSHOBA
3733,1000281536,11-AgegeINJ-T1-Oko Oba-FUNSHO OWOYEMI HVDS 5,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
6293,1000256926,11-Akute INJ-T1-Oyeyemi-AKUTE,AKUTE,ABULE-EGBA,1091349,OYEYEMI
8853,1000203139,11-YidiINJ-T1-Osoba-JAS OJO,IJU,ABULE-EGBA,1069296,OSHOBA
3734,1000281889,11-BeckleyINJ-T1-Agbe road-PAUL STREET HVDS 8,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
6294,1000256923,11-IjuINJ-T1-Grailand-RUNSEWE,AKUTE,ABULE-EGBA,1083853,GRAILAND
6550,1000255629,POLE 1 MARKET STR,ABULE-EGBA,ABULE-EGBA,1066342,CAPITOL
3735,1000281887,11-AgegeINJ-T1-Oko Oba-OLANIYI HVDS 14,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
2456,1001234420,11-IjuINJ-T1-Galilee-COKER ONIFUFU 2,IJU,ABULE-EGBA,1066350,GALILEE
2968,1000288244,11-Abule IrokoINJ-T1-Alakuko-ARAROMI 2,IJAIYE,ABULE-EGBA,1069230,ALAKUKO
3736,1000281529,11-AgegeINJ-T1-Oko Oba-CHURCH HVDS 1,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
6296,1000256918,11-LambeINJ-T1-Jolasco-OTULANA,AKUTE,ABULE-EGBA,1092358,JOLASCO FEEDER
8856,1000203133,11-YidiINJ-T1-Osoba-OGO OLUWA,FAGBA,ABULE-EGBA,1069296,OSHOBA
2457,1001233958,11-IjuINJ-T1-Galilee-COKER ONIFUFU 1,IJU,ABULE-EGBA,1066350,GALILEE
2713,1000975944,11-Abule IrokoINJ-T1-Alakuko-AMJE 2,IJAIYE,ABULE-EGBA,1069230,ALAKUKO
4505,1000271867,11-AgegeINJ-T1-Oko Oba-TEGBABABO HVDS 1,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
6297,1000256915,11-Akute INJ-T1-Oyeyemi-OLORI,AKUTE,ABULE-EGBA,1091349,OYEYEMI
8857,1000203131,11-YidiINJ-T1-Osoba-OLUBUNMI POPOOLA,IJU,ABULE-EGBA,1069296,OSHOBA
4506,1000271865,11-AgegeINJ-T1-Oko Oba-TEGBABABO HVDS 2,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
8090,1000231595,11-Ijaiye OjokoroINJ-T2-Agbado 2-AGO ALAGBEDE 2,IJAIYE,ABULE-EGBA,1070432,AGBADO II
8602,1000208417,11-IjuINJ-T2-Ishaga-MITCHEL,IJU,ABULE-EGBA,1064890,ISHAGA
4507,1000272209,11-AgegeINJ-T1-Oko Oba-TOFEK HVDS 2,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
6299,1000256268,11-Akute INJ-T1-Oyeyemi-ARIFANLA,AKUTE,ABULE-EGBA,1091349,OYEYEMI
8091,1000230571,11-Ijaiye OjokoroINJ-T2-Agbado 2-AJOKE OSHO HVDS 1,FAGBA,ABULE-EGBA,1070432,AGBADO II
8859,1000203127,11-YusufINJ-T1-Akera-AKINDELE,IJAIYE,ABULE-EGBA,1070455,AKERA
2460,1001234415,11-LambeINJ-T1-Jolasco-ONIBUDO II,AKUTE,ABULE-EGBA,1092358,JOLASCO FEEDER
2716,1000975483,11-BeckleyINJ-T1-Agbe road-ALHAJA RAMOTA  HVDS 3,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
8860,1000203125,11-YusufINJ-T1-Akera-ALO-MAJA,IJAIYE,ABULE-EGBA,1070455,AKERA
2461,1001234408,11-Ijaiye OjokoroINJ-T1-Abeokuta Express-ESTATE 1,IJAIYE,ABULE-EGBA,1070424,ABEOKUTA
6045,1000258242,33-OtaTCN-AMJE-OSANYINTOLA,IJAIYE,ABULE-EGBA,1073436,AMJE
8861,1000203123,11-YusufINJ-T1-Akera-AYONI,IJAIYE,ABULE-EGBA,1070455,AKERA
2462,1001234406,11-AgegeINJ-T1-Iju Road-HARMONY 2,IJU,ABULE-EGBA,1070846,IJU ROAD
3230,1000284567,11-AgegeINJ-T1-Oko Oba-AMUSAN HVDS 6,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
3742,1000281514,11-AgegeINJ-T1-Iju Road-37 PA ALAO  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
6046,1000257579,33-OtaTCN-AMJE-ALAKASHI,IJAIYE,ABULE-EGBA,1073436,AMJE
2463,1001234404,11-AgegeINJ-T1-Iju Road-HARMONY 1,IJU,ABULE-EGBA,1070846,IJU ROAD
4255,1000274848,11-AgegeINJ-T1-Oko Oba-FARINDE OLOYEDE BALOGUN HVDS 3,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
6047,1000257577,33-OtaTCN-AMJE-SUNDAY FADIPE,IJAIYE,ABULE-EGBA,1073436,AMJE
8863,1000203119,11-YusufINJ-T1-Akera-IDOWU OYA,IJAIYE,ABULE-EGBA,1070455,AKERA
2464,1001233938,11-AgegeINJ-T1-Iju Road-ENGR.SADIKU,IJU,ABULE-EGBA,1070846,IJU ROAD
3744,1000281508,11-AgegeINJ-T1-Iju Road-21 ALADE CLOSE (2)  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4256,1000274846,11-AgegeINJ-T1-Oko Oba-FARINDE OLOYEDE BALOGUN HVDS 2,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
5792,1000259629,11-BeckleyINJ-T1-Agbe road-DAVIDS KOLAWOLE HVDS 2,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
6048,1000257575,33-OtaTCN-AMJE-BALOGUN,IJAIYE,ABULE-EGBA,1073436,AMJE
3745,1000281506,11-AgegeINJ-T1-Oko Oba-OLANIYI HVDS 13,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4257,1000274844,7 OLUFEMI OLULADE,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
6049,1000257573,33-OtaTCN-AMJE-CLEM 1,IJAIYE,ABULE-EGBA,1073436,AMJE
2722,1000975963,11-Abule IrokoINJ-T1-Alakuko-ADESANYA,IJAIYE,ABULE-EGBA,1069230,ALAKUKO
3490,1000282474,11-AgegeINJ-T1-Iju Road-14 ALHAJI AJISAFE  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
3746,1000281504,11-AgegeINJ-T1-Oko Oba-OLANIYI HVDS 12,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4258,1000274841,11-AgegeINJ-T1-Oko Oba-FARINDE OLOYEDE BALOGUN HVDS 1,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
6050,1000257571,33-OtaTCN-AMJE-CLEM 2,IJAIYE,ABULE-EGBA,1073436,AMJE
7330,1000244698,11-YidiINJ-T1-Osoba-ODUBANWO 1,FAGBA,ABULE-EGBA,1069296,OSHOBA
3491,1000282472,11-AgegeINJ-T1-Iju Road-14 NELSON COLE HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
3747,1000281502,11-AgegeINJ-T1-Iju Road-27 ALADE CLOSE (2)  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4259,1000274417,11-AgegeINJ-T1-Oko Oba-AKERELE HVDS 1,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
6051,1000257569,33-OtaTCN-AMJE-ALAKUKO WEST 1,IJAIYE,ABULE-EGBA,1073436,AMJE
7331,1000244695,11-YidiINJ-T1-Osoba-GBINRINMI 3,FAGBA,ABULE-EGBA,1069296,OSHOBA
3492,1000282470,11-AgegeINJ-T1-Iju Road-14 RAFTEC WAY  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
3748,1000281498,11-AgegeINJ-T1-Oko Oba-OLANIYI HVDS 15,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4004,1000280341,11-AgegeINJ-T1-Iju Road-6 BABATUNDE HASSAN  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
5796,1000259085,11-BeckleyINJ-T1-Agbe road-DAVIDS KOLAWOLE HVDS 4,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
6052,1000258233,33-OtaTCN-AMJE-ALAKUKO WEST 2,IJAIYE,ABULE-EGBA,1073436,AMJE
6308,1000256884,11-IjuINJ-T1-Asore-ABEOKUTA,AKUTE,ABULE-EGBA,1082349,ASORE
3493,1000282839,11-AgegeINJ-T1-Iju Road-163 IJU ROAD  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
3749,1000281868,11-AgegeINJ-T1-Iju Road-108 IJU ROAD HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
6053,1000258230,33-OtaTCN-AMJE-SOWEMIMO,IJAIYE,ABULE-EGBA,1073436,AMJE
6309,1000256263,11-BeckleyINJ-T1-Agbe road-IFELODUN HVDS 2,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
3750,1000281496,11-AgegeINJ-T1-Oko Oba-OLANIYI HVDS 16,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4006,1000280771,11-AgegeINJ-T1-Iju Road-1 BABATUNDE HASSAN  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4262,1000274838,11-AgegeINJ-T1-Oko Oba-AKERELE HVDS 3,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
6054,1000258224,33-OtaTCN-AMJE-ENITAN 2,IJAIYE,ABULE-EGBA,1073436,AMJE
8102,1000230468,11-Ijaiye OjokoroINJ-T2-Agbado 2-AJOKE OSHO HVDS 2,FAGBA,ABULE-EGBA,1070432,AGBADO II
3751,1000281491,11-AgegeINJ-T1-Oko Oba-OLANIYI HVDS 19,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4007,1000280769,11-AgegeINJ-T1-Iju Road-3 OLUSEGUN STREET  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4263,1000274419,11-AgegeINJ-T1-Oko Oba-AKERELE HVDS 2,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
7335,1000240681,11-YidiINJ-T1-Osoba-GBINRINMI 1,FAGBA,ABULE-EGBA,1069296,OSHOBA
2728,1000975456,11-Abule IrokoINJ-T1-Abule Iroko-BOLUWATIFE,IJAIYE,ABULE-EGBA,1069234,ABULE IROKO
3752,1000281489,11-AgegeINJ-T1-Iju Road-AFRICANUS WILLIAMS CRESCENT (1)  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4264,1000274834,11-AgegeINJ-T1-Oko Oba-AKERELE HVDS 4,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
2729,1000975451,11-Ijaiye OjokoroINJ-T2-Agbado 2-MILLENIUM 4,IJAIYE,ABULE-EGBA,1070432,AGBADO II
3753,1000281484,11-AgegeINJ-T1-Oko Oba-OLANIYI HVDS 20,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4009,1000280760,11-AgegeINJ-T1-Oko Oba-CHARITY ROAD HVDS 9,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4265,1000274830,11-AgegeINJ-T1-Oko Oba-OWODE HVDS 5,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
8617,1000208681,11-IjuINJ-T2-Ishaga-MOKIN,IJU,ABULE-EGBA,1064890,ISHAGA
3242,1000284536,11-AgegeINJ-T1-Iju Road-4 ALADE CLOSE (1) HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4010,1000280321,11-AgegeINJ-T1-Oko Oba-CHARITY ROAD HVDS 6,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4266,1000274827,11-AgegeINJ-T1-Oko Oba-OWODE HVDS 7,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
2475,1001233417,11-IjuINJ-T1-Asore-GBADAMOSI,AKUTE,ABULE-EGBA,1082349,ASORE
2731,1000975918,11-YidiINJ-T1-Ijoko-David camp 2,ADIYAN,ABULE-EGBA,1069304,IJOKO
3755,1000281477,11-AgegeINJ-T1-Iju Road-47 PA ALAO  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4011,1000280318,11-AgegeINJ-T1-Oko Oba-CHARITY ROAD HVDS 8,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4267,1000274824,11-AgegeINJ-T1-Oko Oba-OWODE HVDS 3,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4779,1000267033,11-BeckleyINJ-T1-Agbe road-BABS LADIPO HVDS 1,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
6827,1000253427,11-BeckleyINJ-T1-Agbe road-OLUFUNMILAYO GEORGE HVDS 2,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
8619,1000208677,11-IjuINJ-T2-Ishaga-OGUNLEYE - AKINLADE,IJU,ABULE-EGBA,1064890,ISHAGA
2476,1001233409,11-YidiINJ-T1-Ijoko-DOMINION 2,ADIYAN,ABULE-EGBA,1069304,IJOKO
3756,1000281473,11-AgegeINJ-T1-Iju Road-AFRICANUS WILLIAMS CRESCENT (3)  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4012,1000280316,11-AgegeINJ-T1-Oko Oba-SUNNY COLSE HVDS 2,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4268,1000274821,11-AgegeINJ-T1-Oko Oba-OWODE HVDS 4,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4780,1000267479,11-BeckleyINJ-T1-Agbe road-BABS LADIPO HVDS 2,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
6828,1000253383,11-BeckleyINJ-T1-Agbe road-OLUFUNMILAYO GEORGE HVDS 3,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
8620,1000208675,11-IjuINJ-T2-Ishaga-OGUNTADE 2,IJU,ABULE-EGBA,1064890,ISHAGA
2733,1000975913,11-YidiINJ-T1-Ijoko-ROBIYAN 1,ADIYAN,ABULE-EGBA,1069304,IJOKO
3757,1000281465,11-AgegeINJ-T1-Iju Road-17 PA ALAO HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4013,1000280313,11-AgegeINJ-T1-Oko Oba-CHARITY ROAD HVDS 5,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4269,1000274815,11-AgegeINJ-T1-Oko Oba-OWODE HVDS 1,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4781,1000267031,11-BeckleyINJ-T1-Agbe road-HASSAN MAKINDE HVDS 2,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
6829,1000253381,11-BeckleyINJ-T1-Agbe road-OLUFUNMILAYO GEORGE HVDS 4,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
4014,1000280310,11-BeckleyINJ-T1-Agbe road-JIM ADEOSUN HVDS 2,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
4270,1000274812,11-AgegeINJ-T1-Oko Oba-SANNI LABODE HVDS 4,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4782,1000267029,11-BeckleyINJ-T1-Agbe road-HASSAN MAKINDE HVDS 4,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
6830,1000253150,11-BeckleyINJ-T1-Agbe road-OLUSHOLA ADESHINA HVDS 1,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
2479,1001233944,11-Ijaiye OjokoroINJ-T1-Abeokuta Express-ESTATE 2,IJAIYE,ABULE-EGBA,1070424,ABEOKUTA
4015,1000280742,11-AgegeINJ-T1-Iju Road-20 ALHAJI MUSTAPHA HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4271,1000274809,11-AgegeINJ-T1-Oko Oba-SANNI LABODE HVDS 3,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4783,1000267027,11-BeckleyINJ-T1-Agbe road-HASSAN MAKINDE HVDS 1,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
6575,1000255305,11-BeckleyINJ-T1-Agbe road-OLUDEGUN HVDS 3,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
6831,1000252058,11-BeckleyINJ-T1-Agbe road-SANNI BALOGUN HVDS 10,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
2736,1000975434,11-YidiINJ-T1-Ijoko-Araromi,ADIYAN,ABULE-EGBA,1069304,IJOKO
3760,1000281846,11-AgegeINJ-T1-Iju Road-9 PA ALAO  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4016,1000280736,11-BeckleyINJ-T1-Agbe road-MUSBAU ASAFA HVDS 1,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
4272,1000274795,11-BeckleyINJ-T1-Agbe road-AROWOLO HVDS 10,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
4784,1000267471,11-BeckleyINJ-T1-Agbe road-ILE OGBO HVDS 5,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
2481,1001233907,11-YidiINJ-T1-Osoba-YIDI 1,IJU,ABULE-EGBA,1069296,OSHOBA
2737,1000975907,11-YidiINJ-T1-Ijoko-OJASOPE,ADIYAN,ABULE-EGBA,1069304,IJOKO
3761,1000281452,11-AgegeINJ-T1-Iju Road-94 IJU ROAD  HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4017,1000280734,11-AgegeINJ-T1-Oko Oba-OLAYIWOLA HVDS 12,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4273,1000274792,11-BeckleyINJ-T1-Agbe road-ADEPEGBA HVDS 4,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
4785,1000267017,11-BeckleyINJ-T1-Agbe road-ILE OGBO HVDS 10,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
6321,1000256315,11-Abule IrokoINJ-T1-Books-AMJE ROYAL,IJAIYE,ABULE-EGBA,1069238,BOOKS
2482,1001233905,11-YidiINJ-T1-Ijoko-Capt Babatunde,ADIYAN,ABULE-EGBA,1069304,IJOKO
3762,1000281836,11-AgegeINJ-T1-Iju Road-1 ALAFIA STREET HVDS,IJU,ABULE-EGBA,1070846,IJU ROAD
4018,1000280297,11-AgegeINJ-T1-Oko Oba-OLAYIWOLA HVDS 9,FAGBA,ABULE-EGBA,1070850,AGEGE-OKO OBA
4274,1000274386,11-BeckleyINJ-T1-Agbe road-AROWOLO HVDS 11,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
4786,1000267014,11-BeckleyINJ-T1-Agbe road-ILE OGBO HVDS 4,FAGBA,ABULE-EGBA,1105849,AGBE ROAD
6322,1000256953,11-Abule IrokoINJ-T1-Books-EKHATOR,IJAIYE,ABULE-EGBA,1069238,BOOKS
